Время,Время моделирования,Стац - средняя реология
0,446000,-4.89943
0,446500,-19.0962
0,447000,1.40632
0,447500,-4.3285
0,448000,-8.5058
0,448500,-11.7532
0,449000,-7.55101
0,449500,-6.23303
0,450000,1.37727
0,450500,-3.41554
0,451000,-6.55925
0,451500,6.65631
0,452000,7.0733
0,452500,-5.26348
0,453000,-4.47857
0,453500,9.7685
0,454000,-0.342237
0,454500,-2.1883
0,455000,-2.9575
0,455500,6.37716
0,456000,10.8729
0,456500,0.956696
0,457000,10.3461
0,457500,12.1578
0,458000,8.36767
0,458500,-3.39841
0,459000,6.65645
0,459500,13.8768
0,460000,12.2632
0,460500,0.812575
0,461000,16.7901
0,461500,-3.73943
0,462000,6.88619
0,462500,23.3612
0,463000,12.9753
0,463500,6.98757
0,464000,13.0152
0,464500,6.07075
0,465000,15.6055
0,465500,4.26477
0,466000,6.96778
0,466500,7.71064
0,467000,6.05466
0,467500,-9.7493
0,468000,9.24965
0,468500,0.0870221
0,469000,1.049
0,469500,6.02095
0,470000,20.6832
0,470500,2.77825
0,471000,16.0226
0,471500,-1.63606
0,472000,2.77721
0,472500,18.8045
0,473000,7.89219
0,473500,10.1503
0,474000,-4.45055
0,474500,12.0903
0,475000,14.5626
0,475500,15.7104
0,476000,14.7467
0,476500,3.88746
0,477000,3.95688
0,477500,14.9388
0,478000,26.9636
0,478500,4.32229
0,479000,17.3648
0,479500,0.364445
0,480000,16.1789
0,480500,11.2575
0,481000,9.52299
0,481500,12.2659
0,482000,5.35361
0,482500,17.7253
0,483000,16.6405
0,483500,8.97314
0,484000,5.65398
0,484500,18.2191
0,485000,23.2215
0,485500,7.64413
0,486000,15.2325
0,486500,-0.526741
0,487000,7.59812
0,487500,-3.24743
0,488000,7.30219
0,488500,17.3685
0,489000,18.4875
0,489500,22.4745
0,490000,38.6142
0,490500,15.8187
0,491000,5.20576
0,491500,13.0021
0,492000,9.26695
0,492500,14.2593
0,493000,14.2244
0,493500,10.2847
0,494000,31.4543
