Время,Время моделирования,Стац - текущая реология
0,269500,-9.00306
0,270000,-15.3477
0,270500,-3.80666
0,271000,-9.0568
0,271500,-15.2605
0,272000,-6.86184
0,272500,-11.1131
0,273000,-6.44758
0,273500,-8.55659
0,274000,-12.5106
0,274500,-5.68232
0,275000,-19.9434
0,275500,-11.9048
0,276000,-8.10574
0,276500,-12.1296
0,277000,-6.89957
0,277500,-17.9712
0,278000,-13.0279
0,278500,-12.0637
0,279000,-17.9408
0,279500,-5.31818
0,280000,-7.82322
0,280500,-20.7911
0,281000,-14.2144
0,281500,-6.4821
0,282000,-13.7404
0,282500,-13.6207
0,283000,-19.2301
0,283500,-10.1505
0,284000,-13.4817
0,284500,-11.8129
0,285000,-16.2696
0,285500,-23.104
0,286000,-11.4279
0,286500,-18.5366
0,287000,-12.7921
0,287500,-13.5658
0,288000,-25.4063
0,288500,-9.4683
0,289000,-8.04917
0,289500,-20.6682
0,290000,-26.4106
0,290500,-22.4597
0,291000,-23.1722
0,291500,-20.9412
0,292000,-392.224
0,292500,-374.476
0,293000,-368.866
0,293500,-376.199
0,294000,-377.376
0,294500,-375.417
0,295000,-379.896
0,295500,-373.425
0,296000,-367.16
0,296500,-381.993
0,297000,-367.908
0,297500,-372.628
0,298000,-377.044
0,298500,-383.488
0,299000,-372.571
0,299500,-373.449
0,300000,-373.647
0,300500,-379.251
0,301000,-378.978
0,301500,-381.561
0,302000,-377.874
0,302500,-380.187
0,303000,-387.668
0,303500,-16.2275
0,304000,-32.8354
0,304500,-25.4857
0,305000,-37.6353
0,305500,-29.4636
0,306000,-40.6984
0,306500,-28.6672
0,307000,-43.707
0,307500,-37.4311
0,308000,-23.5459
0,308500,-31.3064
0,309000,-24.9961
0,309500,-33.3569
0,310000,-30.039
0,310500,-30.2221
0,311000,-33.2143
0,311500,-31.5023
0,312000,-24.9557
0,312500,-45.0269
0,313000,-24.9143
0,313500,-30.6236
0,314000,-32.1298
0,314500,-21.5564
0,315000,-26.4534
0,315500,-32.8402
0,316000,-33.6258
0,316500,-30.9654
0,317000,-31.8733
0,317500,-39.458
0,318000,-33.8307
0,318500,-33.3969
0,319000,-25.9505
0,319500,-28.6049
0,320000,-38.0887
0,320500,-22.5167
0,321000,-24.07
0,321500,-26.6033
0,322000,-33.7372
0,322500,-22.4958
0,323000,-31.7696
0,323500,-37.5078
0,324000,-30.1592
0,324500,-35.7946
0,325000,-32.1575
0,325500,-29.6525
0,326000,-37.9622
0,326500,-32.9065
0,327000,-38.0743
0,327500,-42.3783
0,328000,-30.9096
0,328500,-33.2903
0,329000,-33.5899
0,329500,-40.4156
0,330000,-34.8713
0,330500,-32.7391
0,331000,-31.5844
0,331500,-36.5073
0,332000,-30.2202
0,332500,-39.0086
0,333000,-38.6215
0,333500,-23.373
0,334000,-20.2967
0,334500,-29.7899
0,335000,-31.3192
0,335500,-36.368
0,336000,-26.4581
0,336500,-36.7369
0,337000,-34.7271
0,337500,-31.0433
0,338000,-33.6386
0,338500,-33.1288
0,339000,-24.7639
0,339500,-31.501
0,340000,-31.4973
0,340500,-26.7732
0,341000,-39.9204
0,341500,-38.1247
0,342000,-38.2304
0,342500,-28.8467
0,343000,-31.6879
0,343500,-27.4296
0,344000,-35.4817
0,344500,-23.1211
0,345000,-26.4767
0,345500,-28.8311
0,346000,-28.5778
0,346500,-25.0818
0,347000,-26.5287
0,347500,-29.7469
0,348000,-27.1456
0,348500,-27.6084
0,349000,-34.9144
0,349500,-33.8713
0,350000,-31.3511
0,350500,-32.0065
0,351000,-34.9357
0,351500,-30.1078
0,352000,-23.0978
0,352500,-31.5917
0,353000,-30.8258
0,353500,-23.7076
0,354000,-18.7443
0,354500,-28.6357
0,355000,-27.1588
0,355500,-27.6757
0,356000,-36.8349
0,356500,-25.1545
0,357000,-25.9441
0,357500,-30.2537
0,358000,-17.5332
0,358500,-25.2551
0,359000,-32.3668
0,359500,-24.9498
0,360000,-20.4639
0,360500,-18.4951
0,361000,-21.9748
0,361500,-28.6089
0,362000,-19.5948
0,362500,-24.2447
0,363000,-29.4522
0,363500,-29.0993
0,364000,-27.8945
0,364500,-2.97409
0,365000,-15.6579
0,365500,-30.625
0,366000,-14.0407
0,366500,-13.7878
0,367000,-6.01899
0,367500,-3.13356
0,368000,-5.93968
0,368500,-10.9434
0,369000,-4.5634
0,369500,-1.62135
0,370000,5.00442
0,370500,-3.94151
0,371000,-14.4241
0,371500,-3.27654
0,372000,-16.0942
0,372500,6.26415
0,373000,-16.8656
0,373500,-2.02442
0,374000,-15.2588
0,374500,-2.08808
0,375000,0.74195
0,375500,-2.04813
0,376000,-0.765583
0,376500,6.26553
0,377000,2.08862
0,377500,-14.282
0,378000,2.81721
0,378500,-15.324
0,379000,-7.95287
0,379500,1.37089
0,380000,-4.6153
0,380500,-6.18367
0,381000,-7.49382
0,381500,1.97875
0,382000,0.0487126
0,382500,2.24121
0,383000,-4.23727
0,383500,-4.33938
0,384000,5.15696
0,384500,5.94706
0,385000,-4.28238
0,385500,-6.09945
0,386000,4.43612
0,386500,-6.46665
0,387000,0.538166
0,387500,-23.0606
0,388000,-11.5181
0,388500,-7.65265
0,389000,-27.3068
0,389500,-13.6132
0,390000,-17.6602
0,390500,-21.3549
0,391000,-23.3872
0,391500,-24.8362
0,392000,-14.4693
0,392500,-12.7424
0,393000,-1.57229
0,393500,-17.4407
0,394000,-16.4469
0,394500,-26.542
0,395000,-20.5011
0,395500,-12.5323
0,396000,-17.4007
0,396500,-22.4285
0,397000,-26.2069
0,397500,-12.7581
0,398000,-30.9562
0,398500,-38.8002
0,399000,-20.5051
0,399500,-19.1817
0,400000,-27.6155
0,400500,-27.8717
0,401000,-24.6047
0,401500,-23.7191
0,402000,-18.0098
0,402500,-19.5878
0,403000,-26.361
0,403500,-15.1735
0,404000,-24.2374
0,404500,-18.5005
0,405000,-20.8403
0,405500,-22.1949
0,406000,-26.8811
0,406500,-18.0384
0,407000,-16.552
0,407500,-12.6857
0,408000,-18.9054
0,408500,-17.5008
0,409000,-23.03
0,409500,-15.16
0,410000,-19.4121
0,410500,-18.0122
0,411000,-10.541
0,411500,-27.3714
0,412000,-17.1907
0,412500,-8.04004
0,413000,-20.1907
0,413500,-12.0744
0,414000,-28.0094
0,414500,-17.8208
0,415000,-13.48
0,415500,-9.23444
0,416000,-8.64106
0,416500,-9.86007
0,417000,-10.2047
0,417500,-7.09203
0,418000,-2.48612
0,418500,-22.2806
0,419000,-31.1323
0,419500,-11.0156
0,420000,-13.5436
0,420500,-13.3538
0,421000,-18.4561
0,421500,-10.268
0,422000,-16.2759
0,422500,-11.3963
0,423000,-11.0629
0,423500,-11.419
0,424000,-30.0949
0,424500,-9.21901
0,425000,-14.789
0,425500,-11.8369
0,426000,-11.9083
0,426500,-20.3604
0,427000,-15.7458
0,427500,-13.5853
0,428000,-14.9059
0,428500,-5.21497
0,429000,-8.76707
0,429500,-11.4977
0,430000,-5.1486
0,430500,-15.2347
0,431000,-21.0252
0,431500,-6.8586
0,432000,-7.51673
0,432500,2.74493
0,433000,-13.5365
0,433500,0.836571
0,434000,-3.53926
0,434500,-14.4086
0,435000,-0.774291
0,435500,3.42562
0,436000,-6.54379
0,436500,2.64887
0,437000,-11.882
0,437500,-4.34199
0,438000,-17.3384
0,438500,6.51424
0,439000,0.631129
0,439500,2.29663
0,440000,1.29569
0,440500,-4.47877
0,441000,-11.2896
0,441500,-2.62635
0,442000,-10.6135
0,442500,0.594302
0,443000,-8.16474
0,443500,11.0401
0,444000,7.40185
0,444500,2.8902
0,445000,13.3523
0,445500,-12.4808
0,446000,0.71645
0,446500,-13.5119
0,447000,7.03495
0,447500,1.28599
0,448000,-2.89901
0,448500,-6.14999
0,449000,-1.92793
0,449500,-0.621395
0,450000,7.0204
0,450500,2.20038
0,451000,-0.955308
0,451500,12.298
0,452000,12.7239
0,452500,0.340641
0,453000,1.14225
0,453500,15.407
0,454000,5.2901
0,454500,3.43049
0,455000,2.66844
0,455500,12.0212
0,456000,16.5057
0,456500,6.57204
0,457000,15.9893
0,457500,17.8121
0,458000,14.0068
0,458500,2.20135
0,459000,12.2915
0,459500,19.5183
0,460000,17.8914
0,460500,6.42362
0,461000,22.4438
0,461500,1.86044
0,462000,12.5234
0,462500,29.0347
0,463000,18.6242
0,463500,12.6105
0,464000,18.6577
0,464500,11.6992
0,465000,21.2762
0,465500,9.88706
0,466000,12.5838
0,466500,13.3444
0,467000,11.6722
0,467500,-4.16451
0,468000,14.8751
0,468500,5.64883
0,469000,6.63673
0,469500,11.638
0,470000,26.3325
0,470500,8.38311
0,471000,21.6591
0,471500,3.96337
0,472000,8.36347
0,472500,24.4378
0,473000,13.4982
0,473500,15.7588
0,474000,1.13199
0,474500,17.7184
0,475000,20.1874
0,475500,21.3449
0,476000,20.3739
0,476500,9.47267
0,477000,9.55685
0,477500,20.5632
0,478000,32.6153
0,478500,9.92144
0,479000,23.0042
0,479500,5.9561
0,480000,21.8104
0,480500,16.8873
0,481000,15.1376
0,481500,17.875
0,482000,10.9555
0,482500,23.3707
0,483000,22.2827
0,483500,14.5871
0,484000,11.2523
0,484500,23.8518
