time,время_visc_in,visc_in
0,20223,10.9146
0,20237,10.8714
0,20254,10.8683
0,20284,10.9208
0,20300,10.9177
0,20314,11.0196
0,20330,10.9733
0,20347,10.964
0,20360,10.8683
0,20375,10.8652
0,20390,10.8219
0,20407,10.8189
0,20422,10.8127
0,20437,10.8219
0,20453,10.9702
0,20483,10.8189
0,20499,10.8158
0,20513,10.8683
0,20529,11.0196
0,20544,11.0165
0,20558,10.8219
0,20576,10.8189
0,20605,10.9208
0,20620,10.9146
0,20636,10.9733
0,20651,10.9671
0,20666,10.9702
0,20681,10.8189
0,20696,10.8158
0,20713,10.7725
0,20728,10.6675
0,20757,10.8189
0,20773,10.8127
0,20789,10.8219
0,20818,10.8158
0,20834,10.7725
0,20848,10.7664
0,20864,10.7694
0,20895,10.7633
0,20910,10.7725
0,20925,10.9084
0,20941,10.9208
0,20956,10.6706
0,20971,10.6614
0,20986,10.6706
0,21001,10.9208
0,21032,10.8683
0,21046,10.8652
0,21061,10.7694
0,21077,10.9208
0,21092,10.9146
0,21107,10.8189
0,21170,10.8158
0,21184,10.7694
0,21199,10.8683
0,21213,10.8714
0,21229,10.7694
0,21245,10.7633
0,21259,10.9702
0,21275,10.8714
0,21290,10.8683
0,21304,10.7694
0,21321,10.7664
0,21337,10.9208
0,21351,10.6675
0,21368,10.6644
0,21383,10.7169
0,21398,10.7478
0,21414,10.8219
0,21428,10.7169
0,21443,10.7139
0,21459,10.6181
0,21473,10.72
0,21505,10.7694
0,21519,10.7664
0,21536,10.6181
0,21551,10.7694
0,21566,10.7664
0,21580,10.6706
0,21597,10.6644
0,21612,10.6706
0,21627,10.7725
0,21643,10.7633
0,21657,10.7694
0,21672,10.5378
0,21688,10.5193
0,21703,10.6675
0,21718,10.6644
0,21733,10.6675
0,21749,10.5193
0,21779,10.6675
0,21810,10.72
0,21824,10.8189
0,21840,10.8158
0,21856,10.6706
0,21870,10.6675
0,21885,10.6706
0,21901,10.5687
0,21915,10.5625
0,21931,10.6675
0,21947,10.5687
0,21978,10.6706
0,21994,10.6644
0,22008,10.7694
0,22024,10.6181
0,22039,10.6119
0,22054,10.6706
0,22069,10.6675
0,22084,10.6706
0,22100,10.6212
0,22114,10.6119
0,22130,10.7169
0,22145,10.72
0,22176,10.5193
0,22191,10.5131
0,22206,10.6181
0,22222,10.7725
0,22236,10.7664
0,22251,10.5193
0,22267,10.5162
0,22283,10.6675
0,22297,10.6212
0,22312,10.615
0,22328,10.4668
0,22345,10.5255
0,22360,10.5687
0,22375,10.4174
0,22389,10.4143
0,22405,10.4699
0,22420,10.5193
0,22450,10.4174
0,22466,10.4143
0,22480,10.6675
0,22496,10.4699
0,22512,10.4606
0,22526,10.5687
0,22542,10.5656
0,22557,10.4699
0,22589,10.4606
0,22603,10.4174
0,22618,10.6675
0,22649,10.4174
0,22664,10.4112
0,22678,10.6181
0,22694,10.72
0,22709,10.7169
0,22724,10.368
0,22740,10.3649
0,22755,10.5193
0,22769,10.4174
0,22786,10.4112
0,22801,10.368
0,22817,10.3649
0,22832,10.5193
0,22848,10.4668
0,22862,10.4606
0,22878,10.3155
0,22893,10.3124
0,22908,10.3155
0,22924,10.4205
0,22938,10.4112
0,22953,10.5687
0,22970,10.368
0,22984,10.3618
0,23000,10.4699
0,23014,10.4668
0,23030,10.4174
0,23046,10.4668
0,23060,10.4606
0,23077,10.6181
0,23091,10.5286
0,23105,10.4699
0,23122,10.4174
0,23136,10.4112
0,23151,10.2197
0,23168,10.5687
0,23197,10.6706
0,23214,10.6644
0,23228,10.4668
0,23244,10.5687
0,23259,10.5625
0,23274,10.368
0,23290,10.3649
0,23305,10.4205
0,23320,10.6212
0,23335,10.6119
0,23350,10.4699
0,23366,10.368
0,23396,10.4174
0,23411,10.4143
